zone_id,zone_name,province,developer_name,developer_mode,zone_type,operational_status,total_area_acres,industrial_area_acres,allotted_area_acres,vacant_area_acres,under_construction_area_acres,under_production_area_acres,boundary_wall_only_area_acres,unsold_area_acres,number_allottees,electricity_status,gas_status,water_status,wastewater_status,roads_status,additionality_confidence,incentive_effectiveness_confidence,net_fiscal_economic_impact,counterfactual_status,displacement_risk,fiscal_return_confidence,source_file,source_row,data_confidence,demo_data_flag,notification_year,commercial_production_year,approved_zone_enterprises,irregular_allottees,sector_focus,investment_committed_usd_m,investment_actual_usd_m,employment_committed,employment_actual,exports_usd_m_2025,exports_usd_m_2026,domestic_sales_usd_m_2026,capex_eligible_usd_m,rd_spend_usd_m,training_spend_usd_m,cit_foregone_pkr_m_2026,customs_exemption_pkr_m_cumulative,tax_paid_pkr_m_2026,public_infrastructure_cost_pkr_m,land_concession_pkr_m,estimated_net_fiscal_position_pkr_m,kpi_score,infrastructure_readiness_score,developer_reporting_score,pilot_readiness_score,stakeholder_acceptance,d4_legal_status,d5_fiscal_status,d6_calibration_status,d7_pilot_status,demo_expected_pathway,synthetic_case_type,notes
SYN-001,Indus Productivity SEZ,Punjab,Sapphire Infrastructure Company,Public,Multi-industry SEZ,Under Production,620,430,330,25,35,210,15,100,42,available inside zone,available inside zone,available inside zone,available,completed,High,Strong,Positive,Validated,Low,Strong,synthetic_demo_2026_working_dataset,SYN-001,synthetic demo 2026 complete D4/D5/D6 fields,True,2019,2021,38,2,"engineering, export packaging, light manufacturing",180,168,9200,8450,148,182,44,64,3.8,2.4,690,1850,1180,5400,650,490,88,92,86,91,high,low-risk obligations mapped,validated exposure band,ready for limited cost-based review,candidate for controlled pilot review,Limited cost-based support review,clean productive / high additionality / validated fiscal exposure,Designed to show a strong but still provisional pathway after hard gates clear.
SYN-002,Margalla Precision SEZ,Islamabad,Capital Advanced Industries Ltd.,Private,Multi-industry SEZ,Commercial Production,180,126,104,8,12,76,4,22,19,available inside zone,gas not needed by process tenants,available inside zone,available,completed,Medium,Moderate,Mixed,Preliminary,Low,Moderate,synthetic_demo_2026_working_dataset,SYN-002,synthetic demo 2026 complete D4/D5/D6 fields,True,2020,2023,17,0,"precision components, devices, lab equipment",74,69,2600,2410,46,55,21,18,2.1,1.2,160,440,310,820,95,70,81,90,80,84,medium,low-risk obligations mapped,verified low exposure,ready for limited cost-based review,secondary pilot candidate,Limited cost-based support review,productive / moderate additionality / low fiscal exposure,Shows a less perfect but still usable support-review case.
SYN-003,Horizon Assembly SEZ,Sindh,Horizon Zone Development Co.,PPP,Multi-industry SEZ,Under Production,480,336,240,34,46,128,20,96,28,available inside zone,available inside zone,available inside zone,available,completed,Unknown,Moderate,Mixed,Needs comparator,Medium,Moderate,synthetic_demo_2026_working_dataset,SYN-003,synthetic demo 2026 complete operational data with additionality still open,True,2021,2024,24,4,"auto components, electrical assembly, logistics packaging",110,88,5200,3960,62,78,66,36,0.7,1.5,410,900,560,2100,240,-40,67,74,72,68,medium,low-risk obligations mapped,preliminary exposure band,additionality comparator required,not pilot-ready until comparator evidence is added,Potential pilot-review flag - subject to D4/D5 validation,productive but additionality not established,Shows that production alone is not treated as proof of incentive effectiveness.
SYN-004,Kirana Legal Exposure SEZ,Punjab,Kirana Industrial Estates Ltd.,Private,Multi-industry SEZ,Under Production,260,182,148,10,20,95,5,34,14,available inside zone,available inside zone,available inside zone,not available - private arrangement,completed,High,Strong,Positive,Validated,Low,Strong,synthetic_demo_2026_working_dataset,SYN-004,synthetic demo 2026 operational data but D4 legal blocker,True,2018,2020,12,1,"chemicals, pharma packaging, process industry",96,91,3100,2800,72,83,28,42,1.5,0.8,520,1180,760,1600,180,240,83,82,78,45,low,high-risk stabilization clause and dispute notice,validated exposure band,blocked pending legal review,excluded until D4 legal position resolved,Legal review required,good operating zone but legal hard gate,Designed to show that high performance cannot override legal/contractual risk.
SYN-005,Makran Duty Exposure SEZ,Balochistan,Makran Industrial Port Company,Public,Multi-industry SEZ,Under Production,720,504,250,62,38,92,18,254,16,available at zero point; partial inside distribution,not available,partially available,not available,access road available; internal roads partial,Low,Weak,Negative,Preliminary,High,Weak,synthetic_demo_2026_working_dataset,SYN-005,synthetic demo 2026 high fiscal exposure with low additionality,True,2017,2022,11,5,"bulk handling, warehousing, low value processing",140,64,4500,1380,18,22,75,58,0.0,0.2,950,2500,180,6200,720,-1450,38,46,58,22,medium,low-risk obligations mapped,high fiscal exposure verified,non-fiscal or phase-down only,excluded from pilot,Non-fiscal support only,high fiscal exposure / low additionality,Designed to show real negative screening logic and avoid fiscal support despite production.
SYN-006,Thar Transition SEZ,Sindh,Thar Industrial Development Authority,Public,Multi-industry SEZ,Under Construction,360,252,140,20,88,0,22,112,10,work in progress at zero point,not required in first phase,available at zero point,under construction,partially completed,Medium,Unknown,Mixed,Preliminary,Low,Moderate,synthetic_demo_2026_working_dataset,SYN-006,synthetic demo 2026 construction-stage transition case,True,2022,,7,1,"mineral processing, engineering services, power equipment",85,39,2900,420,0,0,0,25,0.2,0.4,0,320,22,2700,310,-180,61,62,75,64,high,medium-risk transition obligations mapped,preliminary exposure band,transition assumptions required,possible later-stage candidate after utility milestones,Temporary grandfathering / transition review,construction-stage transition case,"Designed to show that construction-stage activity is handled as transition review, not immediate support."
SYN-007,Bolan Utility Constraint SEZ,Balochistan,Bolan Regional Industrial Estate Co.,PPP,Multi-industry SEZ,Under Construction,240,168,118,12,54,0,16,50,8,pending internal distribution,not available,partially available,not available,access road available; internal roads work in progress,Medium,Unknown,Mixed,Needs comparator,Low,Unknown,synthetic_demo_2026_working_dataset,SYN-007,synthetic demo 2026 infrastructure bottleneck case,True,2023,,5,0,"food processing, cold chain, packaging",42,17,1600,150,0,0,0,12,0.0,0.2,0,140,10,1800,210,-120,55,38,70,41,medium,low-risk but utility obligations unresolved,preliminary low exposure,infrastructure dependency must be separated from fiscal support,exclude unless pilot is explicitly non-fiscal/infrastructure facilitation,Temporary grandfathering / transition review,infrastructure constraint / transition review,Designed to show non-fiscal bottlenecks and avoid blaming incentives alone.
SYN-008,Karak Idle Allotment SEZ,Khyber Pakhtunkhwa,Karak Industrial Zone Company,Private,Multi-industry SEZ,Allotted - no construction,210,147,95,5,0,0,0,52,6,available at zero point,not available,available at zero point,not available,partial internal roads,Low,Weak,Negative,Not assessed,Medium,Weak,synthetic_demo_2026_working_dataset,SYN-008,synthetic demo 2026 allotment-only movement with idle land,True,2020,,2,4,"mixed manufacturing, future expansion claims",36,6,1500,40,0,0,0,4,0.0,0.0,0,60,3,900,260,-210,24,52,48,16,low,low-risk; cancellation/regularization space available,verified low current exposure,no fiscal support rationale,not pilot candidate,Non-fiscal support only,allotted but inactive / speculative risk,Designed to show non-fiscal/corrective handling rather than fiscal incentive continuation. No production or construction is reported.
SYN-009,Salt Range Vacant SEZ,Punjab,Salt Range Development Co.,Private,Multi-industry SEZ,Vacant,300,210,120,95,0,0,18,90,4,available at zero point,not available,not available,not available,temporary roads only,Low,Weak,Negative,Not assessed,Medium,Weak,synthetic_demo_2026_working_dataset,SYN-009,synthetic demo 2026 vacancy and speculative land case,True,2022,,1,3,unspecified mixed industry,55,3,1800,0,0,0,0,1,0.0,0.0,0,15,0,780,400,-390,12,24,35,5,low,low-risk; termination/cancellation review likely feasible,low current exposure,phase-out / no support,excluded,Phase-out / no new support,vacant/speculative / no support,Designed to show a clear negative pathway.
SYN-010,Ravi Non-Compliant SEZ,Punjab,Ravi Business Parks Ltd.,PPP,Multi-industry SEZ,Under Production,410,287,210,30,20,115,15,77,21,available inside zone,partial distribution,available inside zone,partially available,completed,Medium,Moderate,Mixed,Preliminary,Medium,Moderate,synthetic_demo_2026_working_dataset,SYN-010,synthetic demo 2026 non-compliance hard-gate case,True,2016,2020,16,5,"textiles, food processing, light engineering",120,72,6500,3200,36,41,89,26,0.4,0.8,620,1340,360,2800,520,-360,46,72,40,20,low,default notice and milestone breach under review,validated medium exposure,blocked by compliance gate,excluded until cure/default process resolved,Sanction / withdrawal review,non-compliance hard gate,Designed to show that compliance failure dominates productive activity.
SYN-011,Sulaiman Data Gap SEZ,,Sulaiman Regional Projects,Unknown,Multi-industry SEZ,,190,,,,,,,,,unknown,unknown,unknown,unknown,unknown,Unknown,Unknown,Unknown,Not assessed,Unknown,Unknown,synthetic_demo_2026_working_dataset,SYN-011,synthetic demo 2026 incomplete record intentionally created for data-confidence gate,True,2023,,,,unknown,,,,,,,,,,,,,,,,,,,,,unknown,not received,not received,blocked by missing data,not assessable,More data required,low confidence / data gap,Designed to show the app refusing to overinterpret weak records.
SYN-012,Sukkur Fiscal Verification SEZ,Sindh,Sukkur Industrial Estates Authority,Public,Multi-industry SEZ,Under Production,340,238,172,20,24,94,10,66,17,available inside zone,available inside zone,available inside zone,available,completed,Medium,Moderate,Mixed,Preliminary,Low,Unknown,synthetic_demo_2026_working_dataset,SYN-012,synthetic demo 2026 fiscal verification open gate,True,2019,2022,15,2,"agro-processing, cold chain, packaging",92,74,4200,3350,39,51,48,28,0.6,1.0,,,390,1950,300,,72,86,80,50,medium,low-risk obligations mapped,FBR/customs utilization file missing,blocked by D5 verification,not ready until FBR fiscal exposure file is added,Fiscal/FBR verification gate visible in open gates,productive but missing fiscal exposure file,Current v0.5 engine may still show a pilot flag; use this case to demonstrate open D5/FBR gates and why fiscal validation matters.
SYN-013,Karachi Export Corridor EPZ,Sindh,Export Corridor Authority,Public,Export Processing Zone,Under Production,520,364,310,22,18,230,8,54,45,available inside zone,available inside zone,available inside zone,available,completed,High,Strong,Positive,Validated,Low,Strong,synthetic_demo_2026_working_dataset,SYN-013,synthetic demo 2026 EPZ export-heavy case,True,2015,2018,43,0,"export garments, packaging, medical disposables",220,205,14000,13200,410,468,0,72,2.4,4.8,810,2100,1450,3600,500,850,92,95,90,82,high,EPZ legal track separate; domestic sale restriction assumed in demo,validated export-heavy exposure band,review separately from SEZ fiscal logic,not selected for SEZ pilot; useful benchmark case,Limited cost-based support review,export-heavy EPZ comparator,Designed to show export-heavy activity with different policy treatment considerations.
SYN-014,Gilgit Greenfield SEZ,Gilgit-Baltistan,Northern Enterprise Development Authority,Public,Greenfield multi-industry SEZ,Planned / early works,150,105,12,0,8,0,0,93,2,work in progress,not applicable,planned,planned,access planning stage,Unknown,Unknown,Unknown,Not assessed,Unknown,Unknown,synthetic_demo_2026_working_dataset,SYN-014,synthetic demo 2026 early-stage greenfield case,True,2025,,0,0,"light assembly, agro-processing, tourism-linked goods",18,3,800,25,0,0,0,2,0,0.1,0,12,0,450,80,-80,30,20,60,12,medium,scope and notification status require confirmation,low current exposure but not verified,not enough evidence,not ready,Temporary grandfathering / transition review,early-stage / not ready for calibration,Designed to show why planned/early-stage zones are not meaningful pilot examples.
