"requirement_id","evidence_area","required_input","required_fields","current_demo_evidence","demo_coverage_status","current_workflow_status","real_use_status","pilot_priority","source_owner","validator","period_unit","use_in_calculation","decision_consequence_if_missing","next_action","report_reference"
"MASTER-01","Master status and sampling","Zone master","zone_id|zone_name|province|district|coordinates|zone_type|developer_mode|notification_date|approval_date|operational_date|legal_area_acres|maturity_category","Synthetic identity and classification fields exist; coordinates and effective dates do not.","Partially demonstrated","STANDARDIZED","Source validation required","Limited-pilot minimum","BOI / SEZA","BOI master-data steward","Effective-dated zone version; identity/date/acres","Identity reconciliation and zone aggregation","Cases may attach to the wrong legal zone version","Crosswalk authoritative IDs and add notification approval operating and validity dates for pilot zones","Report Table 5"
"MASTER-02","Master status and sampling","Land and plots","total_area_acres|industrial_area_acres|allotted_area_acres|vacant_area_acres|under_construction_area_acres|under_production_area_acres|plot_id|allotment_date|lease_date|transfer_history","Zone acreage and activity states exist; plot history and dates do not.","Partially demonstrated","STANDARDIZED","Source validation required","Important for pilot","SEZA / developer / BOI survey","SEZA / BOI data steward","Plot or zone as-of date; acres/date","Land use maturity and passive-holding checks","Activity and passive-land findings may be misstated","Load plot allotment lease transfer and current-use records","Report Table 5"
"MASTER-03","Master status and sampling","Developer or operator","developer_name|developer_mode|developer_legal_entity_id|ownership_type|agreement_type|agreement_version|operating_role|service_obligations|infrastructure_commitments|milestones|dispute_status|cure_status","Developer identity and compliance status exist; agreement obligations milestones and disputes do not.","Partially demonstrated","STANDARDIZED","Blocking D4 evidence required","Limited-pilot minimum","BOI / SEZA / legal review","Legal reviewer / SEZA","Agreement version and event period; status/date","Legal and compliance gate plus pilot readiness","Developer obligations and cure pathways cannot be assessed","Create an effective-dated developer agreement and obligation extract","Report Table 5"
"MASTER-04","Master status and sampling","Enterprise identity","enterprise_id|enterprise_name|ntn|secp_id|group_parent|ownership_type|sector|firm_size|admission_date|allotment_date|commercial_production_certificate|related_parties","Synthetic enterprise identity and zone links exist; protected IDs dates and related parties do not.","Partially demonstrated","STANDARDIZED","Blocking source data required","Limited-pilot minimum","BOI / SEZA / FBR / SECP","BOI / FBR identity steward","Effective-dated enterprise version; identifier/date","Cross-source matching tax linkage and cohorts","Tax and legal evidence cannot be safely joined","Create a masked canonical enterprise crosswalk with match confidence and reviewer","Report Table 5"
"MASTER-05","Master status and sampling","Enterprise status","production_status|first_production_date|capacity|output|investment_committed_usd_m|investment_actual_usd_m|relocation_flag|closure_status","Production status and executed investment exist; first-production date capacity history commitment and relocation evidence do not.","Partially demonstrated","STANDARDIZED","Source validation required","Limited-pilot minimum","BOI / SEZA / developer / enterprise","BOI / SEZA validator","Enterprise reporting period; status/date/amount","Sample selection forecast start additionality and timing","Construction or production may be classified in the wrong period","Validate status sequence first production date capacity and relocation or new-activity flag","Report Table 5"
"MASTER-06","Master status and sampling","Sample and cohort","sample_version|stratum|geography|ownership_type|sector|firm_size|maturity_category|inclusion_rationale|inclusion_probability|aggregation_weight|coverage|outlier_flag|cohort_scope|pilot_cohort_flag|weight_provenance","Synthetic strata cohort scope pilot flags weights and provenance are explicit.","Demonstrated","STANDARDIZED","Sampling design validation required","Important for scale","REMIT analytical team / BOI","Independent analytical reviewer","Sample version; weight/category","Representative modelling and portfolio extension","Portfolio outputs may not represent the target population","Agree strata probabilities outliers and coverage before scaling","Report Table 5"
"LEGAL-01","Legal entitlement and compliance","Statutory authority","legal_provision_id|act_rule_reference|instrument_id|beneficiary_type|legal_basis|effective_date|sunset_date|approval_authority|amendment_version|legal_risk_level|holiday_expiry_year","Legal-risk gates and a 2035 sunset exist; no provision-level statutory register exists.","Workflow demonstrated","NOT_REQUESTED","Blocking D4 evidence required","Limited-pilot minimum","Law / TPO / FBR / BOI","Legal reviewer","Provision version and effective period; legal reference/date","Instrument authority benchmark and rule calendar","No treatment can be classified for policy use","Create a D4 provision register with authority beneficiary dates and amendment version","Report Table 6"
"LEGAL-02","Legal entitlement and compliance","Contractual entitlement","agreement_id|certificate_id|right_type|beneficiary_id|entitlement_start|entitlement_expiry|entitlement_cap|conditions|grandfathering_status|termination_rule|renegotiability_status|dispute_remedy","Review gates exist; rights caps conditions and remedies are not represented at clause level.","Workflow demonstrated","NOT_REQUESTED","Blocking D4 evidence required","Limited-pilot minimum","D4 legal review / BOI / SEZA","Legal reviewer","Entitlement version and effective period; classification/date","Eligibility overlap transition grandfathering and legal risk","Economic output cannot override an unresolved right","Extract entitlement clauses with exact source locators for pilot cases","Report Table 6"
"LEGAL-03","Legal entitlement and compliance","Obligations and remedies","obligation_id|obligor|beneficiary|obligation_text|due_date|milestone|evidence_reference|obligation_status|default_status|cure_status|waiver_status|enforcement_option","Compliance labels exist; no obligation milestone default cure or remedy ledger exists.","Not demonstrated","NOT_REQUESTED","Blocking D4 evidence required","Important for pilot","Agreement owner / SEZA / developer / legal","Legal reviewer / SEZA","Obligation and event period; status/date","Compliance gate and enforcement or cure path","The workbench cannot distinguish curable default from ineligibility","Create an obligation and event ledger for representative cases","Report Table 6"
"LEGAL-04","Legal entitlement and compliance","No-double-benefit and ordering","instrument_combination_rule|mutual_exclusion_rule|basis_reduction_rule|normal_depreciation_interaction|ordinary_deduction_interaction|customs_cit_overlap|priority_order","The calculation handles ordinary CAPEX depreciation interaction; broader stacking rules are unresolved.","Partially demonstrated","STANDARDIZED","Blocking rule validation required","Limited-pilot minimum","FBR / TPO / legal","FBR tax-policy reviewer","Instrument rule version; ordering rule","Prevents stacking and double counting","Fiscal cost may be overstated or treatment may violate tax rules","Approve instrument ordering and anti-stacking rules before adding packages","Report Table 6"
