zone_id,zone_name,cit_foregone,customs_duties_foregone,land_concession_value,infrastructure_public_cost,utility_subsidy_or_psdp_cost,administrative_cost,tax_paid,net_direct_fiscal_position,fiscal_exposure_level,fiscal_data_confidence,fiscal_notes
SEZ-001,Bostan Special Economic Zone,,,,,,,,,unknown,missing,Placeholder pending D5/FBR/customs fiscal verification.
SEZ-002,Smart SEZ,,,,,,,,,unknown,missing,Placeholder pending D5/FBR/customs fiscal verification.
SEZ-003,Rachna Industrial Park,,,,,,,,,unknown,missing,Placeholder pending D5/FBR/customs fiscal verification.
SEZ-004,Roshan Sun Tao Paper Mills Pvt. Limited,,,,,,,,,unknown,missing,Placeholder pending D5/FBR/customs fiscal verification.
SEZ-005,Hub-Special Economic Zone,,,,,,,,,unknown,missing,Placeholder pending D5/FBR/customs fiscal verification.
SEZ-006,Siddiqsons Tin Plate Ltd. Special Economic Zone,,,,,,,,,unknown,missing,Placeholder pending D5/FBR/customs fiscal verification.
SEZ-007,Service Long March Tyres (Private) Limited,,,,,,,,,unknown,missing,Placeholder pending D5/FBR/customs fiscal verification.
SEZ-008,PFB (Pvt) Ltd. SESEZ,,,,,,,,,unknown,missing,Placeholder pending D5/FBR/customs fiscal verification.
SEZ-009,Dhabeji Special Economic Zone,,,,,,,,,unknown,missing,Placeholder pending D5/FBR/customs fiscal verification.
SEZ-010,Armstrong ZE (Pvt) Limited,,,,,,,,,unknown,missing,Placeholder pending D5/FBR/customs fiscal verification.
SEZ-011,SITE LARKANA PHASE I,,,,,,,,,unknown,missing,Placeholder pending D5/FBR/customs fiscal verification.
SEZ-012,Rashakai Special Economic Zone,,,,,,,,,unknown,missing,Placeholder pending D5/FBR/customs fiscal verification.
SEZ-013,Naushahro Feroze Industrial Park (NFIP),,,,,,,,,unknown,missing,Placeholder pending D5/FBR/customs fiscal verification.
SEZ-014,Khairpur Special Economic Zone,,,,,,,,,unknown,missing,Placeholder pending D5/FBR/customs fiscal verification.
SEZ-015,Korangi Creek Industrial Park (KCIP),,,,,,,,,unknown,missing,Placeholder pending D5/FBR/customs fiscal verification.
SEZ-016,Bin Qasim Industrial Park (BQIP),,,,,,,,,unknown,missing,Placeholder pending D5/FBR/customs fiscal verification.
SEZ-017,Premier Cement Limited,,,,,,,,,unknown,missing,Placeholder pending D5/FBR/customs fiscal verification.
SEZ-018,Fatima Cement Limited,,,,,,,,,unknown,missing,Placeholder pending D5/FBR/customs fiscal verification.
SEZ-019,Sapphire Value Addition SEZ,,,,,,,,,unknown,missing,Placeholder pending D5/FBR/customs fiscal verification.
SEZ-020,Bhalwal Industrial Estate,,,,,,,,,unknown,missing,Placeholder pending D5/FBR/customs fiscal verification.
SEZ-021,M-3 Industrial City (M3IC),,,,,,,,,unknown,missing,Placeholder pending D5/FBR/customs fiscal verification.
SEZ-022,Allama Iqbal Industrial City (AIIC),,,,,,,,,unknown,missing,Placeholder pending D5/FBR/customs fiscal verification.
SEZ-023,Oil Village Special Economic Zone (OVSEZ),,,,,,,,,unknown,missing,Placeholder pending D5/FBR/customs fiscal verification.
SEZ-024,Value Addition City (VAC),,,,,,,,,unknown,missing,Placeholder pending D5/FBR/customs fiscal verification.
SEZ-025,NSTP SEZ,,,,,,,,,unknown,missing,Placeholder pending D5/FBR/customs fiscal verification.
SEZ-026,Hattar Special Economic Zone,,,,,,,,,unknown,missing,Placeholder pending D5/FBR/customs fiscal verification.
SEZ-027,IVIJ -,,,,,,,,,unknown,missing,Placeholder pending D5/FBR/customs fiscal verification.
SEZ-028,RahimyarKhan Industrial Estate,,,,,,,,,unknown,missing,Placeholder pending D5/FBR/customs fiscal verification.
SEZ-029,Vehari Industrial Estate,,,,,,,,,unknown,missing,Placeholder pending D5/FBR/customs fiscal verification.
SEZ-030,Ombre Industrial & Investment Park,,,,,,,,,unknown,missing,Placeholder pending D5/FBR/customs fiscal verification.
SEZ-031,Sundar Green SEZ,,,,,,,,,unknown,missing,Placeholder pending D5/FBR/customs fiscal verification.
SEZ-032,DWP Innovation Park SEZ,,,,,,,,,unknown,missing,Placeholder pending D5/FBR/customs fiscal verification.
SEZ-033,Challenge Special Econimic Zone,,,,,,,,,unknown,missing,Placeholder pending D5/FBR/customs fiscal verification.
SEZ-034,JW-SEZ China-Pakistan SEZ,,,,,,,,,unknown,missing,Placeholder pending D5/FBR/customs fiscal verification.
SEZ-035,Quaid-e-Azam Business Park,,,,,,,,,unknown,missing,Placeholder pending D5/FBR/customs fiscal verification.
