zone_id,zone_name,development_agreement_status,legal_risk_level,grandfathering_risk,developer_compliance_status,enterprise_compliance_status,reform_space,legal_review_required,legal_notes
SEZ-001,Bostan Special Economic Zone,unknown,unknown,unknown,unknown,unknown,unknown,True,Placeholder pending D4 legal review.
SEZ-002,Smart SEZ,unknown,unknown,unknown,unknown,unknown,unknown,True,Placeholder pending D4 legal review.
SEZ-003,Rachna Industrial Park,unknown,unknown,unknown,unknown,unknown,unknown,True,Placeholder pending D4 legal review.
SEZ-004,Roshan Sun Tao Paper Mills Pvt. Limited,unknown,unknown,unknown,unknown,unknown,unknown,True,Placeholder pending D4 legal review.
SEZ-005,Hub-Special Economic Zone,unknown,unknown,unknown,unknown,unknown,unknown,True,Placeholder pending D4 legal review.
SEZ-006,Siddiqsons Tin Plate Ltd. Special Economic Zone,unknown,unknown,unknown,unknown,unknown,unknown,True,Placeholder pending D4 legal review.
SEZ-007,Service Long March Tyres (Private) Limited,unknown,unknown,unknown,unknown,unknown,unknown,True,Placeholder pending D4 legal review.
SEZ-008,PFB (Pvt) Ltd. SESEZ,unknown,unknown,unknown,unknown,unknown,unknown,True,Placeholder pending D4 legal review.
SEZ-009,Dhabeji Special Economic Zone,unknown,unknown,unknown,unknown,unknown,unknown,True,Placeholder pending D4 legal review.
SEZ-010,Armstrong ZE (Pvt) Limited,unknown,unknown,unknown,unknown,unknown,unknown,True,Placeholder pending D4 legal review.
SEZ-011,SITE LARKANA PHASE I,unknown,unknown,unknown,unknown,unknown,unknown,True,Placeholder pending D4 legal review.
SEZ-012,Rashakai Special Economic Zone,unknown,unknown,unknown,unknown,unknown,unknown,True,Placeholder pending D4 legal review.
SEZ-013,Naushahro Feroze Industrial Park (NFIP),unknown,unknown,unknown,unknown,unknown,unknown,True,Placeholder pending D4 legal review.
SEZ-014,Khairpur Special Economic Zone,unknown,unknown,unknown,unknown,unknown,unknown,True,Placeholder pending D4 legal review.
SEZ-015,Korangi Creek Industrial Park (KCIP),unknown,unknown,unknown,unknown,unknown,unknown,True,Placeholder pending D4 legal review.
SEZ-016,Bin Qasim Industrial Park (BQIP),unknown,unknown,unknown,unknown,unknown,unknown,True,Placeholder pending D4 legal review.
SEZ-017,Premier Cement Limited,unknown,unknown,unknown,unknown,unknown,unknown,True,Placeholder pending D4 legal review.
SEZ-018,Fatima Cement Limited,unknown,unknown,unknown,unknown,unknown,unknown,True,Placeholder pending D4 legal review.
SEZ-019,Sapphire Value Addition SEZ,unknown,unknown,unknown,unknown,unknown,unknown,True,Placeholder pending D4 legal review.
SEZ-020,Bhalwal Industrial Estate,unknown,unknown,unknown,unknown,unknown,unknown,True,Placeholder pending D4 legal review.
SEZ-021,M-3 Industrial City (M3IC),unknown,unknown,unknown,unknown,unknown,unknown,True,Placeholder pending D4 legal review.
SEZ-022,Allama Iqbal Industrial City (AIIC),unknown,unknown,unknown,unknown,unknown,unknown,True,Placeholder pending D4 legal review.
SEZ-023,Oil Village Special Economic Zone (OVSEZ),unknown,unknown,unknown,unknown,unknown,unknown,True,Placeholder pending D4 legal review.
SEZ-024,Value Addition City (VAC),unknown,unknown,unknown,unknown,unknown,unknown,True,Placeholder pending D4 legal review.
SEZ-025,NSTP SEZ,unknown,unknown,unknown,unknown,unknown,unknown,True,Placeholder pending D4 legal review.
SEZ-026,Hattar Special Economic Zone,unknown,unknown,unknown,unknown,unknown,unknown,True,Placeholder pending D4 legal review.
SEZ-027,IVIJ -,unknown,unknown,unknown,unknown,unknown,unknown,True,Placeholder pending D4 legal review.
SEZ-028,RahimyarKhan Industrial Estate,unknown,unknown,unknown,unknown,unknown,unknown,True,Placeholder pending D4 legal review.
SEZ-029,Vehari Industrial Estate,unknown,unknown,unknown,unknown,unknown,unknown,True,Placeholder pending D4 legal review.
SEZ-030,Ombre Industrial & Investment Park,unknown,unknown,unknown,unknown,unknown,unknown,True,Placeholder pending D4 legal review.
SEZ-031,Sundar Green SEZ,unknown,unknown,unknown,unknown,unknown,unknown,True,Placeholder pending D4 legal review.
SEZ-032,DWP Innovation Park SEZ,unknown,unknown,unknown,unknown,unknown,unknown,True,Placeholder pending D4 legal review.
SEZ-033,Challenge Special Econimic Zone,unknown,unknown,unknown,unknown,unknown,unknown,True,Placeholder pending D4 legal review.
SEZ-034,JW-SEZ China-Pakistan SEZ,unknown,unknown,unknown,unknown,unknown,unknown,True,Placeholder pending D4 legal review.
SEZ-035,Quaid-e-Azam Business Park,unknown,unknown,unknown,unknown,unknown,unknown,True,Placeholder pending D4 legal review.
