zone_id,zone_name,activity_category,data_confidence_band,legal_risk_level,developer_compliance_status,enterprise_compliance_status,fiscal_exposure_level,fiscal_data_status,additionality_confidence,counterfactual_status,recommended_treatment,illustrative_support_treatment,illustrative_instrument_options,hard_gates_triggered,reason_codes,open_validation_gates,next_actions,validator_owner
SYN-001,Indus Productivity SEZ,operating_productive,high,low,compliant,compliant,medium,validated,High,Validated,Limited cost-based support review,Limited cost-based support review,Immediate expensing / CAPEX deduction review,none,R04; R19; R15; R17,Additionality validation required. | Counterfactual or comparator evidence required. | Net fiscal/economic impact validation required. | Enterprise-level evidence required. | KPI and audit framework required. | Human review required. | Reported production requires source-row and enterprise-level verification.,"Prepare a validation pack for BOI, SEZA, FBR, Finance, legal team, and REMIT review.",BOI / REMIT
SYN-002,Margalla Precision SEZ,operating_productive,high,low,compliant,compliant,low,verified,Medium,Preliminary,Limited cost-based support review,Limited cost-based support review,Immediate expensing / CAPEX deduction review,none,R04; R19; R15; R17,Additionality validation required. | Counterfactual or comparator evidence required. | Net fiscal/economic impact validation required. | Enterprise-level evidence required. | KPI and audit framework required. | Human review required. | Reported production requires source-row and enterprise-level verification.,"Prepare a validation pack for BOI, SEZA, FBR, Finance, legal team, and REMIT review.",BOI / REMIT
SYN-003,Horizon Assembly SEZ,operating_productive,high,low,compliant,compliant,medium,preliminary,Unknown,Needs comparator,Potential pilot-review flag - subject to D4/D5 validation,More data required before treatment,None,none,R11; R23; R24; R25; R17; R04; R19; R15,Additionality validation required: reported activity is not proof that incentives caused the activity. | Counterfactual validation required: comparator or baseline has not been assessed. | Additionality validation required. | Counterfactual or comparator evidence required. | Net fiscal/economic impact validation required. | Enterprise-level evidence required. | KPI and audit framework required. | Human review required. | Reported production requires source-row and enterprise-level verification.,REMIT/Finance should test additionality and net fiscal/economic impact before any treatment category is used.,REMIT / Finance / BOI
SYN-004,Kirana Legal Exposure SEZ,operating_productive,high,high,compliant,compliant,medium,validated,High,Validated,Legal review required,Legal/transition review,To be determined after D5/D6 validation,high_legal_risk,R01; R14; R17; R04; R12; R19; R13,D4 legal review required: high legal or contractual risk. | Additionality validation required. | Counterfactual or comparator evidence required. | Net fiscal/economic impact validation required. | Enterprise-level evidence required. | KPI and audit framework required. | Human review required. | Reported production requires source-row and enterprise-level verification.,"D4 legal team should validate legal classification, contractual constraints, sunset issues, and grandfathering exposure.",Legal team / BOI / SEZA
SYN-005,Makran Duty Exposure SEZ,operating_productive,high,low,compliant,partial,high,validated,Low,Preliminary,Non-fiscal support only,Non-fiscal support only,Infrastructure-linked non-fiscal support,high_fiscal_exposure,R03; R21; R22; R17; R10; R13; R11; R23; R24; R25; R04; R12; R19; R14,Developer/enterprise compliance validation required. | D5/FBR fiscal exposure validation required: reported fiscal exposure is high. | Additionality validation required: reported activity is not proof that incentives caused the activity. | Incentive-effectiveness validation required. | Additionality validation required. | Counterfactual or comparator evidence required. | Net fiscal/economic impact validation required. | Enterprise-level evidence required. | KPI and audit framework required. | Human review required. | Reported production requires source-row and enterprise-level verification.,"FBR/Finance/D5 team should validate fiscal exposure, customs data, and any zone-wise cost-risk flags.",SEZA / BOI / FBR / Finance / D5 team / REMIT
SYN-006,Thar Transition SEZ,moving_toward_production,high,medium,compliant,partial,medium,preliminary,Medium,Preliminary,Temporary grandfathering / transition review,Legal/transition review,To be determined after D5/D6 validation,none,R03; R21; R22; R17; R25; R05; R12; R19,Developer/enterprise compliance validation required. | Incentive-effectiveness validation required. | Additionality validation required. | Counterfactual or comparator evidence required. | Net fiscal/economic impact validation required. | Enterprise-level evidence required. | KPI and audit framework required. | Human review required.,"Prepare a validation pack for BOI, SEZA, FBR, Finance, legal team, and REMIT review.",SEZA / BOI / REMIT
SYN-007,Bolan Utility Constraint SEZ,moving_toward_production,high,low,partial,partial,low,preliminary,Medium,Needs comparator,Temporary grandfathering / transition review,Legal/transition review,To be determined after D5/D6 validation,none,R03; R21; R22; R17; R23; R25; R05; R12; R19,Developer/enterprise compliance validation required. | Counterfactual validation required: comparator or baseline has not been assessed. | Incentive-effectiveness validation required. | Additionality validation required. | Counterfactual or comparator evidence required. | Net fiscal/economic impact validation required. | Enterprise-level evidence required. | KPI and audit framework required. | Human review required.,"Prepare a validation pack for BOI, SEZA, FBR, Finance, legal team, and REMIT review.",SEZA / BOI / REMIT / Finance
SYN-008,Karak Idle Allotment SEZ,allotted_but_inactive,high,low,partial,partial,low,verified,Low,Not assessed,Non-fiscal support only,Non-fiscal support only,Infrastructure-linked non-fiscal support,none,R03; R21; R22; R17; R11; R23; R24; R25; R06; R07; R16; R12; R19,"Developer/enterprise compliance validation required. | Additionality validation required: reported activity is not proof that incentives caused the activity. | Counterfactual validation required: comparator or baseline has not been assessed. | Incentive-effectiveness validation required. | Additionality validation required: vacancy, idle land, boundary-wall-only status, or allotment-only movement is weak evidence of incentive effectiveness. | Additionality validation required. | Counterfactual or comparator evidence required. | Net fiscal/economic impact validation required. | Enterprise-level evidence required. | KPI and audit framework required. | Human review required.",REMIT/Finance should test additionality and net fiscal/economic impact before any treatment category is used.,SEZA / BOI / REMIT / Finance
SYN-009,Salt Range Vacant SEZ,vacant_or_speculative,high,low,partial,partial,low,verified,Low,Not assessed,Phase-out / no new support,No new fiscal support,None,none,R03; R21; R22; R17; R11; R23; R24; R25; R06; R07; R16; R12; R19,"Developer/enterprise compliance validation required. | Additionality validation required: reported activity is not proof that incentives caused the activity. | Counterfactual validation required: comparator or baseline has not been assessed. | Incentive-effectiveness validation required. | Additionality validation required: vacancy, idle land, boundary-wall-only status, or allotment-only movement is weak evidence of incentive effectiveness. | Additionality validation required. | Counterfactual or comparator evidence required. | Net fiscal/economic impact validation required. | Enterprise-level evidence required. | KPI and audit framework required. | Human review required.",REMIT/Finance should test additionality and net fiscal/economic impact before any treatment category is used.,SEZA / BOI / REMIT / Finance
SYN-010,Ravi Non-Compliant SEZ,operating_productive,high,medium,non_compliant,partial,medium,validated,Medium,Preliminary,Sanction / withdrawal review,Phase-out / sanction review,None,compliance_non_compliant,R03; R21; R17; R04; R12; R19,Developer/enterprise compliance validation required: non-compliance concern flagged. | Additionality validation required. | Counterfactual or comparator evidence required. | Net fiscal/economic impact validation required. | Enterprise-level evidence required. | KPI and audit framework required. | Human review required. | Reported production requires source-row and enterprise-level verification.,SEZA and the legal team should run sanction / withdrawal review before any support discussion.,SEZA / legal team
