enterprise_id,zone_id,zone_name,enterprise_name,sector,zone_enterprise_status,production_status,investment_actual_usd_m,employment_actual,exports_usd_m_2026,domestic_sales_usd_m_2026,capex_eligible_usd_m,rd_spend_usd_m,training_spend_usd_m,cit_foregone_pkr_m_2026,customs_exemption_pkr_m_cumulative,tax_paid_pkr_m_2026,additionality_confidence,counterfactual_status,compliance_status,notes
ENT-001-A,SYN-001,Indus Productivity SEZ,Anchor Enterprise 01,engineering,approved,commercial production,168,8450,182,44,64,3.8,2.4,2500,1850,4500,High,Validated,compliant,Synthetic enterprise summary supporting clean productive / high additionality / validated fiscal exposure
ENT-002-A,SYN-002,Margalla Precision SEZ,Anchor Enterprise 02,precision components,approved,commercial production,69,2410,55,21,18,2.1,1.2,700,440,1500,Medium,Preliminary,compliant,Synthetic enterprise summary supporting productive / moderate additionality / low fiscal exposure
ENT-003-A,SYN-003,Horizon Assembly SEZ,Anchor Enterprise 03,auto components,approved,commercial production,88,3960,78,66,36,0.7,1.5,410,900,560,Unknown,Needs comparator,compliant,Synthetic enterprise summary supporting productive but additionality not established
ENT-004-A,SYN-004,Kirana Legal Exposure SEZ,Anchor Enterprise 04,chemicals,approved,commercial production,91,2800,83,28,42,1.5,0.8,520,1180,760,High,Validated,compliant,Synthetic enterprise summary supporting good operating zone but legal hard gate
ENT-005-A,SYN-005,Makran Duty Exposure SEZ,Anchor Enterprise 05,bulk handling,approved,commercial production,64,1380,22,75,58,0.0,0.2,950,2500,180,Low,Preliminary,partial,Synthetic enterprise summary supporting high fiscal exposure / low additionality
ENT-006-A,SYN-006,Thar Transition SEZ,Anchor Enterprise 06,mineral processing,approved,construction,39,420,0,0,25,0.2,0.4,0,320,22,Medium,Preliminary,partial,Synthetic enterprise summary supporting construction-stage transition case
ENT-007-A,SYN-007,Bolan Utility Constraint SEZ,Anchor Enterprise 07,food processing,approved,construction,17,150,0,0,12,0.0,0.2,0,140,10,Medium,Needs comparator,partial,Synthetic enterprise summary supporting infrastructure constraint / transition review
ENT-008-A,SYN-008,Karak Idle Allotment SEZ,Anchor Enterprise 08,mixed manufacturing,approved,inactive,6,40,0,0,4,0.0,0.0,0,60,3,Low,Not assessed,non_compliant,Synthetic enterprise summary supporting allotted but inactive / speculative risk
ENT-009-A,SYN-009,Salt Range Vacant SEZ,Anchor Enterprise 09,unspecified mixed industry,approved,inactive,3,0,0,0,1,0.0,0.0,0,15,0,Low,Not assessed,non_compliant,Synthetic enterprise summary supporting vacant/speculative / no support
ENT-010-A,SYN-010,Ravi Non-Compliant SEZ,Anchor Enterprise 10,textiles,approved,commercial production,72,3200,41,89,26,0.4,0.8,620,1340,360,Medium,Preliminary,partial,Synthetic enterprise summary supporting non-compliance hard gate
ENT-011-A,SYN-011,Sulaiman Data Gap SEZ,Anchor Enterprise 11,unknown,not yet approved,inactive,,,,,,,,,,,Unknown,Not assessed,unknown,Synthetic enterprise summary supporting low confidence / data gap
ENT-012-A,SYN-012,Sukkur Fiscal Verification SEZ,Anchor Enterprise 12,agro-processing,approved,commercial production,74,3350,51,48,28,0.6,1.0,,,390,Medium,Preliminary,compliant,Synthetic enterprise summary supporting productive but missing fiscal exposure file
ENT-013-A,SYN-013,Karachi Export Corridor EPZ,Anchor Enterprise 13,export garments,approved,commercial production,205,13200,468,0,72,2.4,4.8,810,2100,1450,High,Validated,compliant,Synthetic enterprise summary supporting export-heavy EPZ comparator
ENT-014-A,SYN-014,Gilgit Greenfield SEZ,Anchor Enterprise 14,light assembly,not yet approved,construction,3,25,0,0,2,0,0.1,0,12,0,Unknown,Not assessed,unknown,Synthetic enterprise summary supporting early-stage / not ready for calibration
